Date,Open,High,Low,Close,Volume,Symbol,Daily_Return,MA_7,MA_20,MA_50,MA_200,EMA_20,Volatility_20,BB_Upper,BB_Lower,BB_Width,Price_Range,Vol_MA_20,Vol_Ratio,RSI,Momentum_10,Momentum_30,Year,Month,Quarter,DayOfWeek,Golden_Cross,Death_Cross,Next_Day_Return,Price_Up
2017-01-02,138.39,143.03,137.0,140.0,65320446,NFLX,,,,,,140.0,,,,,6.030000000000001,,,,,,2017,1,1,0,0,0,0.11428571428571122,1
2017-01-03,140.71,142.22,137.1,140.16,23466854,NFLX,0.11428571428571122,,,,,140.0152380952381,,,,,5.1200000000000045,,,,,,2017,1,1,1,0,0,1.8478881278538806,1
2017-01-04,144.33,145.62,140.24,142.75,7486856,NFLX,1.8478881278538806,,,,,140.27569160997732,,,,,5.3799999999999955,,,,,,2017,1,1,2,0,0,3.775831873905422,1
2017-01-05,148.35,150.12,145.15,148.14,17613202,NFLX,3.775831873905422,,,,,141.02467336140805,,,,,4.969999999999999,,,,,,2017,1,1,3,0,0,-0.10125556905627997,0
2017-01-06,149.54,152.42,147.52,147.99,12583663,NFLX,-0.10125556905627997,,,,,141.6880378031787,,,,,4.899999999999977,,,,,,2017,1,1,4,0,0,-0.10811541320359108,0
2017-01-09,146.24,148.43,145.26,147.83,4208957,NFLX,-0.10811541320359108,,,,,142.27298658382836,,,,,3.170000000000016,,,,,,2017,1,1,0,0,0,3.896367449096938,1
2017-01-10,153.3,154.47,151.95,153.59,9232302,NFLX,3.896367449096938,145.78,,,,143.3507973853685,,,,,2.5200000000000102,,,,,,2017,1,1,1,0,0,2.1095123380428404,1
2017-01-11,155.92,160.56,153.15,156.83,20918982,NFLX,2.1095123380428404,148.18428571428572,,,,144.63453096771437,,,,,7.409999999999997,,,,,,2017,1,1,2,0,0,-0.6312567748517517,0
2017-01-12,156.7,157.52,152.63,155.84,12165252,NFLX,-0.6312567748517517,150.42428571428573,,,,145.70171849459874,,,,,4.890000000000015,,,,,,2017,1,1,3,0,0,1.604209445585214,1
2017-01-13,160.17,162.51,157.26,158.34,20301874,NFLX,1.604209445585214,152.65142857142857,,,,146.90536435225602,,,,,5.25,,,,,,2017,1,1,4,0,0,-0.61892130857647,0
2017-01-16,156.44,159.71,154.31,157.36,18230965,NFLX,-0.61892130857647,153.96857142857147,,,,147.90104393775545,,,,,5.400000000000006,,,,17.360000000000014,,2017,1,1,0,0,0,-0.6227758007117501,0
2017-01-17,156.96,158.96,153.32,156.38,19780412,NFLX,-0.6227758007117501,155.16714285714286,,,,148.70856356273114,,,,,5.640000000000015,,,,16.22,,2017,1,1,1,0,0,0.9336232254764099,1
2017-01-18,156.7,160.44,155.1,157.84,12938256,NFLX,0.9336232254764099,156.59714285714287,,,,149.57822417580437,,,,,5.340000000000003,,,,15.090000000000003,,2017,1,1,2,0,0,-3.8203243791180896,0
2017-01-19,152.04,153.04,148.16,151.81,23435135,NFLX,-3.8203243791180896,156.34285714285716,,,,149.79077425429918,,,,,4.8799999999999955,,,,3.670000000000016,,2017,1,1,3,0,0,-3.4121599367630595,0
2017-01-20,146.5,148.72,143.99,146.63,18954649,NFLX,-3.4121599367630595,154.8857142857143,,,,149.4897481348421,,,,,4.72999999999999,,,59.319651391622145,-1.3600000000000136,,2017,1,1,4,0,0,-0.8456659619450413,0
2017-01-23,147.04,148.5,143.39,145.39,9105661,NFLX,-0.8456659619450413,153.39285714285714,,,,149.0992959315238,,,,,5.110000000000014,,,57.1350613915416,-2.440000000000026,,2017,1,1,0,0,0,-1.8364399202145831,0
2017-01-24,143.09,145.51,139.66,142.72,10142727,NFLX,-1.8364399202145831,151.1614285714286,,,,148.49174393804535,,,,,5.849999999999994,,,49.9591614484073,-10.870000000000005,,2017,1,1,1,0,0,1.0860426008968638,1
2017-01-25,143.75,144.91,143.56,144.27,19163772,NFLX,1.0860426008968638,149.29142857142855,,,,148.08967308680295,,,,,1.3499999999999943,,,44.116752812405025,-12.560000000000002,,2017,1,1,2,0,0,-1.60809593124005,0
2017-01-26,140.64,144.04,137.83,141.95,15067196,NFLX,-1.60809593124005,147.23,,,,147.50494231663126,,,,,6.2099999999999795,,,41.386195094124346,-13.890000000000015,,2017,1,1,3,0,0,-2.7263120817188957,0
2017-01-27,136.93,138.83,133.93,138.08,5603680,NFLX,-2.7263120817188957,144.40714285714284,148.695,,,146.60732876266638,,162.27268525346292,135.11731474653706,27.155370506925863,4.900000000000006,17286042.05,0.32417368786858874,37.42584472530309,-20.25999999999999,,2017,1,1,4,0,0,3.6283314020857382,1
2017-01-30,142.15,144.19,139.29,143.09,14055901,NFLX,3.6283314020857382,143.16142857142856,148.8495,,,146.27234507098387,2.251154253273266,162.07638565802722,135.6226143419728,26.45377131605443,4.900000000000006,14722814.8,0.9547020179863975,36.191478169384546,-14.27000000000001,,2017,1,1,0,0,0,-0.1118177370885487,0
2017-01-31,142.08,143.83,141.15,142.93,20636027,NFLX,-0.1118177370885487,142.63285714285715,148.988,,,145.95402649279495,2.251822082821123,161.88568906269236,136.09031093730763,25.79537812538473,2.680000000000007,14581273.45,1.4152417531131343,30.108757870635387,-13.449999999999989,,2017,1,1,1,0,0,0.5387252501224182,1
2017-02-01,144.91,145.69,141.58,143.7,23841553,NFLX,0.5387252501224182,142.39142857142858,149.0355,,,145.73935730300497,2.2177804362492295,161.84314159234225,136.22785840765778,25.615283184684472,4.109999999999985,15399008.3,1.5482524936362296,32.51728110599076,-14.140000000000015,,2017,2,1,2,0,0,-2.755741127348632,0
2017-02-02,139.95,142.86,138.14,139.74,16747562,NFLX,-2.755741127348632,141.96571428571428,148.6155,,,145.16798994081404,2.120008995914649,162.08082306568087,135.15017693431912,26.930646131361755,4.720000000000027,15355726.3,1.0906395225343395,24.29519071310115,-12.069999999999993,,2017,2,1,3,0,0,-0.8158007728639061,0
2017-02-03,138.68,139.77,135.21,138.6,19181752,NFLX,-0.8158007728639061,141.15571428571428,148.14600000000002,,,144.54246708930793,2.1230324865918386,162.33833506991863,133.9536649300814,28.384670139837226,4.560000000000002,15685630.75,1.2228868768952756,24.188222344523922,-8.030000000000001,,2017,2,1,4,0,0,0.6277056277056214,1
2017-02-06,138.18,142.72,134.84,139.47,14053257,NFLX,0.6277056277056214,140.80142857142857,147.728,,,144.05937498556435,2.132991463195154,162.442367629526,133.01363237047403,29.42873525905196,7.8799999999999955,16177845.75,0.8686729504761164,26.662986475296705,-5.9199999999999875,,2017,2,1,0,0,0,-2.1581702158170124,0
2017-02-07,137.64,140.99,134.51,136.46,6636119,NFLX,-2.1581702158170124,140.57,146.8715,,,143.33562498693917,1.9307583033378342,162.1332020158648,131.60979798413518,30.523404031729626,6.480000000000018,16048036.6,0.4135159437510256,21.704605611434616,-6.259999999999991,,2017,2,1,1,0,0,1.216473691924369,1
2017-02-08,138.86,140.9,137.37,138.12,23334211,NFLX,1.216473691924369,139.85999999999999,145.936,,,142.83889879770686,1.8750073064270019,160.91866844337852,130.9533315566215,29.96533688675703,3.530000000000001,16168798.05,1.4431629938008903,29.51212211912599,-6.150000000000006,,2017,2,1,2,0,0,-0.9484506226469791,0
2017-02-09,135.39,137.42,134.89,136.81,4667108,NFLX,-0.9484506226469791,138.9857142857143,144.9845,,,142.26471795983002,1.8764803296093855,159.73412475883083,130.23487524116916,29.499249517661667,2.530000000000001,15793890.85,0.2955008391741545,33.37846987136085,-5.139999999999986,,2017,2,1,3,0,0,-0.26313865945473136,0
2017-02-10,137.13,138.5,133.33,136.45,5853507,NFLX,-0.26313865945473136,137.95000000000002,143.89000000000001,,,141.71093529698908,1.8044160388212405,157.68457559294498,130.09542440705505,27.589151185889932,5.1699999999999875,15071472.5,0.3883832186934621,34.403349616189786,-1.6300000000000239,,2017,2,1,4,0,0,-0.9454012458776084,0
2017-02-13,135.3,138.02,133.52,135.16,19450961,NFLX,-0.9454012458776084,137.2957142857143,142.78,,,141.08703669727583,1.8048764438325966,155.5451581720672,130.0148418279328,25.530316344134405,4.5,15132472.3,1.2853789264824889,36.14369501466274,-7.930000000000007,-4.840000000000003,2017,2,1,0,0,0,4.461379106244445,1
2017-02-14,139.78,142.58,139.35,141.19,19105466,NFLX,4.461379106244445,137.66571428571427,142.0205,,,141.0968427261067,2.147975790267462,153.07100887135016,130.96999112864984,22.10101774270032,3.230000000000018,15098725.0,1.2653694931194521,45.15113350125942,-1.740000000000009,1.0300000000000011,2017,2,1,1,0,0,0.3470500743678828,1
2017-02-15,141.54,142.12,139.32,141.68,21931543,NFLX,0.3470500743678828,137.98142857142858,141.2125,,,141.15238151409653,2.131487890119456,149.37973073597996,133.04526926402005,16.334461471959912,2.8000000000000114,15548389.35,1.410534718826037,49.54894754426999,-2.019999999999982,-1.0699999999999932,2017,2,1,2,0,0,-1.9551101072840305,0
2017-02-16,138.86,140.9,138.15,138.91,7070081,NFLX,-1.9551101072840305,138.33142857142857,140.5675,,,140.93882136989686,2.01708710197369,147.08090924554867,134.05409075445132,13.026818491097345,2.75,14730136.65,0.47997389080569053,51.439472771418636,-0.8300000000000125,-9.22999999999999,2017,2,1,3,0,0,2.188467352962342,1
2017-02-17,140.81,144.97,137.74,141.95,12538735,NFLX,2.188467352962342,138.87857142857143,140.3335,,,141.03512409657336,1.9685660769453506,146.23762264528142,134.42937735471855,11.808245290562866,7.22999999999999,14409340.95,0.8701810196253286,47.8778853313477,3.3499999999999943,-6.0400000000000205,2017,2,1,4,0,0,-2.3247622402254198,0
2017-02-20,140.14,142.95,138.3,138.65,19614866,NFLX,-2.3247622402254198,139.14142857142858,139.9965,,,140.8079694207092,2.0233426525850784,145.43657072322438,134.55642927677562,10.88014144644876,4.649999999999977,14934801.2,1.3133663941907712,42.86666666666665,-0.8199999999999932,-9.180000000000007,2017,2,1,0,0,0,0.8366390191128614,1
2017-02-21,140.98,141.71,138.83,139.81,6917000,NFLX,0.8366390191128614,139.62142857142857,139.851,,,140.712924713975,1.998930285298047,145.13786913618605,134.56413086381394,10.573738272372111,2.8799999999999955,14773514.85,0.4682027310515074,43.59986837775586,3.3499999999999943,-13.780000000000001,2017,2,1,1,0,0,-3.9553679994277946,0
2017-02-22,134.82,137.13,133.95,134.28,13603512,NFLX,-3.9553679994277946,139.49571428571429,139.35150000000002,,,140.10026521740596,2.155353449417609,144.76659887162486,133.93640112837517,10.830197743249698,3.180000000000007,14495501.85,0.9384643692070586,41.45807259073842,-3.8400000000000034,-22.55000000000001,2017,2,1,2,0,0,-2.561811140899606,0
2017-02-23,130.72,131.66,129.57,130.84,11173542,NFLX,-2.561811140899606,138.01714285714286,138.796,,,139.21833519670065,2.1951576599694476,145.26548269305889,132.3265173069411,12.938965386117786,2.0900000000000034,14300819.15,0.7813218167995643,38.67483946293054,-5.969999999999999,-25.0,2017,2,1,3,0,0,0.8025068786303713,1
2017-02-24,131.61,132.71,129.46,131.89,5350716,NFLX,0.8025068786303713,136.6185714285714,138.4865,,,138.52039851130058,2.138043269710218,145.65473188945865,131.31826811054137,14.336463778917278,3.25,14288170.95,0.37448572100125943,38.995354239256656,-4.560000000000002,-26.450000000000017,2017,2,1,4,0,0,1.9940859807415556,1
2017-02-27,135.01,137.97,134.19,134.52,15876169,NFLX,1.9940859807415556,135.99142857142857,138.058,,,138.139408176891,2.0111985260168592,145.0908630091352,131.02513699086478,14.065726018270425,3.780000000000001,14379184.35,1.1041077583792158,47.15208455666471,-0.6399999999999864,-22.840000000000003,2017,2,1,0,0,0,0.7433838834373985,1
2017-02-28,135.67,136.62,133.03,135.52,13208064,NFLX,0.7433838834373985,135.07285714285715,137.6875,,,137.88994073147282,2.0242157971335706,144.41372792546184,130.96127207453816,13.452455850923684,3.5900000000000034,14007786.2,0.94290873742776,46.10778443113772,-5.6699999999999875,-20.859999999999985,2017,2,1,1,0,0,0.11068476977567077,1
2017-03-01,134.24,136.66,131.96,135.67,21041224,NFLX,0.11068476977567077,134.64714285714285,137.286,,,137.6785178046659,2.0177305853149714,143.43496277089838,131.13703722910162,12.297925541796758,4.699999999999989,13867769.75,1.517275263385448,48.23200992555829,-6.010000000000019,-22.170000000000016,2017,3,1,2,0,0,-0.3022038770546187,0
2017-03-02,135.3,135.44,134.16,135.26,19159419,NFLX,-0.3022038770546187,133.99714285714285,137.06199999999998,,,137.44818277565008,1.9312347459178005,143.1607543162949,130.96324568370505,12.197508632589859,1.2800000000000011,13988362.6,1.3696684556918763,48.1573242489935,-3.6500000000000057,-16.55000000000001,2017,3,1,3,0,0,-2.8981221351471187,0
2017-03-03,132.3,135.2,130.47,131.34,5768654,NFLX,-2.8981221351471187,133.57714285714286,136.699,,,136.86645108273103,2.023236160784133,143.2590991648474,130.1389008351526,13.120198329694801,4.72999999999999,13317707.7,0.4331566760546937,44.53035509736541,-10.609999999999985,-15.289999999999992,2017,3,1,4,0,0,-1.2258261001979687,0
2017-03-06,129.6,132.32,129.25,129.73,10061944,NFLX,-1.2258261001979687,133.41857142857143,136.21200000000002,,,136.1867890748519,2.0234055808682654,143.32848819366174,129.0955118063383,14.232976387323447,3.069999999999993,13118142.05,0.767025083403484,31.213114754098328,-8.920000000000016,-15.659999999999997,2017,3,1,0,0,0,-0.6629152855931464,0
2017-03-07,127.49,130.94,124.93,128.87,23653561,NFLX,-0.6629152855931464,132.98714285714286,135.8325,,,135.4899520201041,1.979920398239218,143.66662205809007,127.99837794190996,15.668244116180105,6.009999999999991,13969014.15,1.693287782946372,29.251700680272066,-10.939999999999998,-13.849999999999994,2017,3,1,1,0,0,2.6926359897571084,1
2017-03-08,133.25,135.79,131.57,132.34,16708181,NFLX,2.6926359897571084,132.6757142857143,135.5435,,,135.18995658961802,2.0638717971960348,143.4484412261872,127.63855877381278,15.809882452374438,4.219999999999999,13637712.65,1.2251454058903346,39.59455178967373,-1.9399999999999977,-11.930000000000007,2017,3,1,2,0,0,1.1183315701979613,1
2017-03-09,132.86,134.44,131.9,133.82,14569471,NFLX,1.1183315701979613,132.43285714285713,135.39399999999998,,,135.05948453346392,2.075779773694769,143.3111749347459,127.47682506525405,15.83434986949186,2.539999999999992,14132830.8,1.030895452310941,36.45451516161277,2.9799999999999898,-8.129999999999995,2017,3,1,3,0,0,-3.5345987146913727,0
2017-03-10,128.34,130.64,125.33,129.09,9057174,NFLX,-3.5345987146913727,131.49285714285716,135.026,141.3958,,134.49096219694354,2.214410910799922,143.40711511234136,126.64488488765865,16.76223022468271,5.309999999999988,14293014.15,0.6336783763696197,34.796437659033046,-2.799999999999983,-8.990000000000009,2017,3,1,4,0,0,1.0767681462545475,1
2017-03-13,129.43,131.71,127.39,130.48,5233414,NFLX,1.0767681462545475,130.81,134.792,141.2054,,134.10896579723465,2.2272867429320735,143.41519662306277,126.16880337693723,17.246393246125535,4.320000000000007,13582136.8,0.3853159541140831,35.26997158193869,-4.0400000000000205,-12.610000000000014,2017,3,1,0,0,0,-0.49816063764559493,0
2017-03-14,129.3,130.25,126.95,129.83,13031671,NFLX,-0.49816063764559493,130.59428571428572,134.224,140.99880000000002,,133.70144524511704,1.944732024351986,142.56467118339253,125.88332881660743,16.681342366785103,3.299999999999997,13278447.05,0.9814152928372749,41.69466218738335,-5.689999999999998,-13.099999999999994,2017,3,1,1,0,0,-1.1399522452437916,0
2017-03-15,129.14,130.78,126.08,128.35,9134678,NFLX,-1.1399522452437916,130.39714285714288,133.55749999999998,140.7108,,133.19178379320113,1.9430756836444898,141.5109140302667,125.60408596973325,15.906828060533442,4.700000000000003,12638603.8,0.7227600567714607,44.98590414820778,-7.319999999999993,-15.349999999999994,2017,3,1,2,0,0,1.7062719127385995,1
2017-03-16,130.6,133.61,130.35,130.54,11392939,NFLX,1.7062719127385995,130.6357142857143,133.13899999999998,140.3588,,132.9392329557534,1.9685760742845697,140.78130579699206,125.49669420300792,15.284611593984138,3.2600000000000193,12854746.7,0.8862826523061711,47.40084713130536,-4.719999999999999,-9.200000000000017,2017,3,1,3,0,0,2.627547111996331,1
2017-03-17,133.02,134.23,131.74,133.97,21343192,NFLX,2.627547111996331,130.86857142857144,132.74,140.0784,,133.03740124568165,1.999890458507931,139.18483963297294,126.29516036702708,12.889679265945858,2.4899999999999807,13294969.55,1.6053584718439613,48.972730668658926,2.6299999999999955,-4.6299999999999955,2017,3,1,4,0,0,2.4035231768306353,1
2017-03-20,138.43,139.54,136.12,137.19,18911898,NFLX,2.4035231768306353,131.35,132.667,139.8656,,133.43288684133103,2.0235077844078497,138.8580567076951,126.47594329230489,12.382113415390222,3.4199999999999875,13259821.15,1.4262558888284853,52.88030355294928,7.460000000000008,-2.280000000000001,2017,3,1,0,0,0,-1.5015671696187782,0
2017-03-21,136.36,137.17,134.92,135.13,6976808,NFLX,-1.5015671696187782,132.21285714285713,132.43300000000002,139.4964,,133.59451666596615,2.0380926319013484,137.78409275608382,127.08190724391623,10.702185512167588,2.25,13262811.55,0.5260429113161907,49.12621359223302,6.259999999999991,-1.3300000000000125,2017,3,1,1,0,0,-0.3330126544808576,0
2017-03-22,135.87,136.79,132.53,134.68,11601462,NFLX,-0.3330126544808576,132.81285714285715,132.453,139.0534,,133.69789603111224,1.8327566047673323,137.83605372148773,127.06994627851228,10.766107442975454,4.259999999999991,13162709.05,0.8813886226559113,49.0627020038785,2.3400000000000034,-3.4399999999999977,2017,3,1,2,0,0,1.0766260766260638,1
2017-03-23,135.28,139.23,134.5,136.13,7744353,NFLX,1.0766260766260638,133.71285714285713,132.7175,138.6592,,133.92952498053012,1.7400934037437497,138.28358858223305,127.15141141776697,11.132177164466086,4.72999999999999,12991249.6,0.5961207149772567,58.41236389181595,2.3100000000000023,-0.6800000000000068,2017,3,1,3,0,0,2.4976125762139256,1
2017-03-24,139.37,141.24,137.34,139.53,21330632,NFLX,2.4976125762139256,135.31,133.09949999999998,138.283,,134.46290355381296,1.8101980122692138,139.4235276140415,126.77547238595847,12.648055228083024,3.9000000000000057,13790245.4,1.5467913283109522,66.19299405155326,10.439999999999998,3.0800000000000125,2017,3,1,4,0,0,-0.7095248333691795,0
2017-03-27,140.15,141.86,137.97,138.54,5956156,NFLX,-0.7095248333691795,136.45285714285714,133.3005,137.9066,,134.85119845344983,1.7774914349484874,140.05548248858236,126.54551751141764,13.509964977164714,3.890000000000015,13294244.75,0.448025150131225,65.90983876275091,8.060000000000002,3.3799999999999955,2017,3,1,0,0,0,-0.06496318752706731,0
2017-03-28,139.35,142.04,135.59,138.45,22058912,NFLX,-0.06496318752706731,137.09285714285713,133.447,137.548,,135.19394145788317,1.772768878435996,140.52407075888868,126.36992924111132,14.154141517777362,6.449999999999989,13736787.15,1.6058276043099349,61.31062569418732,8.619999999999976,-2.740000000000009,2017,3,1,1,0,0,-2.094618996027431,0
2017-03-29,134.01,136.18,133.71,135.55,18030066,NFLX,-2.094618996027431,136.85857142857142,133.44099999999997,137.10219999999998,,135.22785179522762,1.8407864090931128,140.51033451792438,126.37166548207558,14.138669035848793,2.469999999999999,13586229.25,1.3270838926849404,53.04256067534298,7.200000000000017,-6.1299999999999955,2017,3,1,2,0,0,-2.301733677609741,0
2017-03-30,131.05,134.11,128.46,132.43,16983249,NFLX,-2.301733677609741,136.47285714285715,133.29950000000002,136.71460000000002,,134.96138971949165,1.9116664181513225,140.32870965835096,126.27029034164907,14.058419316701887,5.650000000000006,13477420.75,1.2601260519376454,56.226696495152886,1.8900000000000148,-6.47999999999999,2017,3,1,3,0,0,2.136978026127001,1
2017-03-31,135.14,136.79,132.82,135.26,3004677,NFLX,2.136978026127001,136.5557142857143,133.4955,136.4872,,134.98982879382578,1.8527914925718008,140.51325335169773,126.47774664830227,14.035506703395455,3.969999999999999,13339221.9,0.22525129445518857,58.457183297947644,1.289999999999992,-6.689999999999998,2017,3,1,4,0,0,3.3343190891616192,1
2017-04-03,141.14,143.3,138.81,139.77,11593188,NFLX,3.3343190891616192,137.07571428571427,133.9975,136.3748,,135.4450831944138,1.9508199956596644,141.31125596501488,126.68374403498512,14.627511930029755,4.490000000000009,13415784.1,0.8641453912485071,65.47322540473225,2.5800000000000125,1.1200000000000045,2017,4,2,0,0,0,0.17886527867210233,1
2017-04-04,140.15,143.65,137.84,140.02,19907550,NFLX,0.17886527867210233,137.1457142857143,134.555,136.3208,,135.88078955685057,1.9358977676404792,141.9227176355976,127.18728236440242,14.735435271195172,5.810000000000002,13228483.55,1.5049003859554255,68.8896082874717,4.890000000000015,0.21000000000000796,2017,4,2,1,0,0,2.5567776031995226,1
2017-04-05,143.59,146.39,142.1,143.6,19202721,NFLX,2.5567776031995226,137.86857142857144,135.118,136.3074,,136.61595245619813,1.9277749780136368,143.43300761147867,126.80299238852132,16.630015222957354,4.289999999999992,13353210.55,1.438060227396025,70.2292441140025,8.919999999999987,9.319999999999993,2017,4,2,2,0,0,1.135097493036219,1
2017-04-06,143.85,146.76,141.79,145.23,19224424,NFLX,1.135097493036219,138.83714285714285,135.6885,136.37300000000002,,137.43633793656022,1.9280951491612586,145.11935925649357,126.25764074350644,18.861718512987125,4.969999999999999,13585958.2,1.415021577204617,68.47112860892389,9.099999999999994,14.389999999999986,2017,4,2,3,0,0,-1.087929491151951,0
2017-04-07,144.19,147.2,142.62,143.65,24335101,NFLX,-1.087929491151951,139.99428571428572,136.41649999999998,136.4844,,138.02811527593545,1.7310159233735358,145.94999612791935,126.88300387208062,19.066992255838727,4.579999999999984,14349854.55,1.695843042534532,61.19972260748963,4.1200000000000045,11.76000000000002,2017,4,2,4,0,0,1.1347024016707286,1
2017-04-10,146.4,147.15,142.44,145.28,24939641,NFLX,1.1347024016707286,141.82999999999998,137.1565,136.5282,,138.7187709639416,1.7319921150946276,147.0409210756119,127.2720789243881,19.768842151223794,4.710000000000008,15335165.9,1.6263039580158698,67.8634283702922,6.740000000000009,10.759999999999991,2017,4,2,0,0,0,3.7307268722466924,1
2017-04-11,150.26,150.96,146.72,150.7,22286179,NFLX,3.7307268722466924,144.03571428571428,138.2,136.6836,,139.85984039594717,1.8509784146216974,149.17417446841256,127.22582553158742,21.94834893682514,4.240000000000009,15797891.3,1.410705933898912,73.99640503295387,12.25,15.179999999999978,2017,4,2,1,0,0,0.25215660252158045,1
2017-04-12,152.08,152.98,148.39,151.08,8827316,NFLX,0.25215660252158045,145.65142857142857,139.3365,136.8312,,140.92842702490458,1.8011042238546,150.7160167319457,127.9569832680543,22.7590334638914,4.590000000000003,15782523.2,0.559309553240511,73.13525224388738,15.530000000000001,15.410000000000025,2017,4,2,2,0,0,3.7860736033889397,1
2017-04-13,158.55,160.0,154.67,156.8,3558745,NFLX,3.7860736033889397,148.04857142857145,140.6495,137.1724,,142.4400054034851,1.91082236190693,153.69363314381926,127.60536685618071,26.088266287638547,5.3300000000000125,15390813.5,0.2312252695414703,74.93502743286172,24.370000000000005,21.54000000000002,2017,4,2,3,0,0,-5.446428571428585,0
